Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_TT,tt_512_784_512_ld_512_784_512,Gemm_Rocblas_6374,0.175388
GemmTunableOp_float_TT,tt_1536_784_512_ld_512_784_1536,Gemm_Rocblas_6376,0.552386
GemmTunableOp_float_TT,tt_256_400_256_ld_256_400_256,Gemm_Hipblaslt_6373,0.0254326
GemmTunableOp_float_TT,tt_6625_212_120_ld_120_212_6625,Gemm_Rocblas_6374,0.145561
GemmTunableOp_float_TN,tn_64_1_1_ld_1_1_1,Gemm_Hipblaslt_6376,0.00747248
GemmTunableOp_float_TN,tn_6625_810_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.597095
GemmTunableOp_float_TN,tn_6625_420_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.330292
GemmTunableOp_float_TN,tn_6625_1074_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.814986
GemmTunableOp_float_TN,tn_6625_492_120_ld_120_120_6625,Gemm_Rocblas_6378,0.333315
GemmTunableOp_float_TN,tn_6625_510_120_ld_120_120_6625,Gemm_Rocblas_6378,0.358445
GemmTunableOp_float_TN,tn_6625_360_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.270765
GemmTunableOp_float_TN,tn_6625_432_120_ld_120_120_6625,Gemm_Rocblas_6378,0.317812
GemmTunableOp_float_TN,tn_6625_756_120_ld_120_120_6625,Gemm_Rocblas_6378,0.542847
GemmTunableOp_float_TN,tn_6625_372_120_ld_120_120_6625,Gemm_Rocblas_6378,0.273679
GemmTunableOp_float_TN,tn_6625_240_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.181919
GemmTunableOp_float_TN,tn_6625_462_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.346269
GemmTunableOp_float_TN,tn_6625_392_120_ld_120_120_6625,Gemm_Rocblas_6378,0.289957
GemmTunableOp_float_TN,tn_6625_330_120_ld_120_120_6625,Gemm_Rocblas_6378,0.261804
GemmTunableOp_float_TN,tn_6625_402_120_ld_120_120_6625,Gemm_Rocblas_6378,0.300531
GemmTunableOp_float_TN,tn_6625_591_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.377724
GemmTunableOp_float_TN,tn_6625_930_120_ld_120_120_6625,Gemm_Rocblas_6378,0.672448
GemmTunableOp_float_TN,tn_6625_594_120_ld_120_120_6625,Gemm_Rocblas_6378,0.447915
GemmTunableOp_float_TN,tn_6625_540_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.408405
GemmTunableOp_float_TN,tn_6625_528_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.376318
GemmTunableOp_float_TN,tn_6625_252_120_ld_120_120_6625,Gemm_Rocblas_6378,0.192285
GemmTunableOp_float_TN,tn_6625_306_120_ld_120_120_6625,Gemm_Rocblas_6378,0.24403
GemmTunableOp_float_TN,tn_6625_1050_120_ld_120_120_6625,Gemm_Rocblas_6378,0.789083
GemmTunableOp_float_TN,tn_6625_396_120_ld_120_120_6625,Gemm_Rocblas_6378,0.290317
GemmTunableOp_float_TN,tn_6625_390_120_ld_120_120_6625,Gemm_Rocblas_6378,0.308698
GemmTunableOp_float_TN,tn_6625_268_120_ld_120_120_6625,Gemm_Rocblas_6378,0.204694
GemmTunableOp_float_TN,tn_6625_468_120_ld_120_120_6625,Gemm_Rocblas_6378,0.336266
GemmTunableOp_float_TN,tn_6625_258_120_ld_120_120_6625,Gemm_Rocblas_6378,0.205136
GemmTunableOp_float_TN,tn_6625_618_120_ld_120_120_6625,Gemm_Rocblas_6378,0.447396
GemmTunableOp_float_TN,tn_6625_894_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.575549
GemmTunableOp_float_TN,tn_6625_564_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.365201
GemmTunableOp_float_TN,tn_6625_750_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.502833
GemmTunableOp_float_TN,tn_6625_864_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.550284
GemmTunableOp_float_TN,tn_6625_408_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.311836
GemmTunableOp_float_TN,tn_6625_780_120_ld_120_120_6625,Gemm_Rocblas_6378,0.478012
GemmTunableOp_float_TN,tn_6625_384_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.252337
GemmTunableOp_float_TN,tn_6625_606_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.388809
GemmTunableOp_float_TN,tn_6625_786_120_ld_120_120_6625,Gemm_Rocblas_6378,0.584451
GemmTunableOp_float_TN,tn_6625_1374_120_ld_120_120_6625,Gemm_Rocblas_6378,0.889281
GemmTunableOp_float_TN,tn_6625_288_120_ld_120_120_6625,Gemm_Rocblas_6378,0.209356
GemmTunableOp_float_TN,tn_6625_576_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.423684
GemmTunableOp_float_TN,tn_6625_738_120_ld_120_120_6625,Gemm_Rocblas_6378,0.537821
GemmTunableOp_float_TN,tn_6625_342_120_ld_120_120_6625,Gemm_Rocblas_6378,0.258798
GemmTunableOp_float_TN,tn_6625_216_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.147911
GemmTunableOp_float_TN,tn_6625_570_120_ld_120_120_6625,Gemm_Rocblas_6378,0.415427
GemmTunableOp_float_TN,tn_6625_672_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.458938
GemmTunableOp_float_TN,tn_6625_702_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.428664
GemmTunableOp_float_TN,tn_6625_624_120_ld_120_120_6625,Gemm_Rocblas_6378,0.399814
GemmTunableOp_float_TN,tn_6625_246_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.187582
GemmTunableOp_float_TN,tn_6625_444_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.338619
GemmTunableOp_float_TN,tn_6625_450_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.298846
GemmTunableOp_float_TN,tn_6625_276_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.185591
GemmTunableOp_float_TN,tn_6625_516_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.399361
GemmTunableOp_float_TN,tn_6625_426_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.309359
GemmTunableOp_float_TN,tn_6625_336_120_ld_120_120_6625,Gemm_Rocblas_6378,0.249932
GemmTunableOp_float_TN,tn_6625_264_120_ld_120_120_6625,Gemm_Rocblas_6378,0.205306
GemmTunableOp_float_TN,tn_6625_745_120_ld_120_120_6625,Gemm_Rocblas_6378,0.541528
GemmTunableOp_float_TN,tn_6625_282_120_ld_120_120_6625,Gemm_Hipblaslt_6377,0.19839
